customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,No,19,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),35.81,629.6,No
CUST-00001,Female,0,Yes,No,20,Yes,No,DSL,No,No internet service,No,No,Yes,Yes,Two year,No,Credit card (automatic),67.18,1375.83,No
CUST-00002,Male,0,No,Yes,45,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Mailed check,61.35,2549.5,No
CUST-00003,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),72.72,70.47,No
CUST-00004,Female,0,No,No,29,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.03,2564.19,Yes
CUST-00005,Male,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No,Two year,Yes,Credit card (automatic),71.15,2325.91,No
CUST-00006,Male,0,No,No,15,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,84.03,1359.9,Yes
CUST-00007,Female,0,No,Yes,8,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),29.46,235.34,No
CUST-00008,Male,0,No,No,17,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,59.65,948.91,Yes
CUST-00009,Female,0,No,No,22,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,Yes,Two year,No,Electronic check,68.9,1594.29,No
CUST-00010,Male,0,Yes,Yes,38,Yes,No phone service,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,27.9,1029.12,No
CUST-00011,Male,0,Yes,No,5,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,75.46,412.5,Yes
CUST-00012,Male,0,No,No,27,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,74.32,1911.18,Yes
CUST-00013,Male,0,No,No,38,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),73.7,2981.04,No
CUST-00014,Female,0,Yes,No,61,No,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,60.27,3671.96,No
CUST-00015,Female,0,No,Yes,42,Yes,No,No,Yes,No,No,Yes,No,No internet service,Two year,Yes,Mailed check,67.56,3031.68,No
CUST-00016,Female,0,Yes,No,26,No,Yes,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.99,657.25,No
CUST-00017,Male,0,No,No,35,Yes,No,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),49.93,1794.27,No
CUST-00018,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),51.91,478.94,No
CUST-00019,Female,0,Yes,No,17,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),66.96,1207.87,No
CUST-00020,Male,0,No,Yes,32,Yes,Yes,DSL,Yes,No internet service,Yes,No,No,Yes,One year,Yes,Electronic check,36.96,1120.19,No
CUST-00021,Female,0,No,No,43,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,No,Electronic check,26.39,1118.33,No
CUST-00022,Female,0,No,No,35,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,61.89,2233.72,No
CUST-00023,Male,0,No,No,69,Yes,No,No,No internet service,No internet service,Yes,No,No internet service,Yes,One year,Yes,Mailed check,49.56,3404.74,No
CUST-00024,Male,0,Yes,No,46,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),70.54,3425.84,No
CUST-00025,Female,0,Yes,Yes,9,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.9,932.94,Yes
CUST-00026,Male,1,No,Yes,38,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,One year,Yes,Credit card (automatic),70.78,2490.82,No
CUST-00027,Female,1,Yes,No,15,Yes,No,No,No,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.49,1083.54,Yes
CUST-00028,Female,0,Yes,No,4,Yes,No phone service,DSL,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,66.96,263.74,No
CUST-00029,Male,0,No,Yes,28,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,63.24,1805.34,No
CUST-00030,Male,0,No,No,62,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),35.96,2103.14,No
CUST-00031,Male,0,No,No,26,Yes,Yes,No,No,No,No,No internet service,No internet service,No,One year,Yes,Electronic check,38.56,987.14,No
CUST-00032,Male,0,Yes,No,33,Yes,No phone service,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),73.95,2595.15,No
CUST-00033,Female,0,Yes,No,14,No,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,69.73,1059.44,Yes
CUST-00034,Female,1,No,No,28,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,Two year,No,Electronic check,91.03,2772.47,Yes
CUST-00035,Female,0,No,No,23,Yes,Yes,DSL,No,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),28.71,686.75,No
CUST-00036,Female,1,Yes,Yes,55,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,No,Mailed check,65.31,3289.54,No
CUST-00037,Female,0,No,Yes,70,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),33.4,2311.18,No
CUST-00038,Female,0,No,No,47,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),55.64,2454.55,No
CUST-00039,Female,0,No,No,7,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No,No,One year,Yes,Electronic check,92.18,670.76,Yes
CUST-00040,Female,0,Yes,Yes,47,No,No,DSL,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),32.21,1411.34,No
CUST-00041,Male,0,Yes,No,15,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,72.3,1188.09,Yes
CUST-00042,Male,0,No,Yes,31,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No,Two year,No,Credit card (automatic),72.75,2117.47,No
CUST-00043,Female,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,93.58,426.04,Yes
CUST-00044,Male,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No,Two year,No,Electronic check,61.83,264.31,Yes
CUST-00045,Female,1,No,No,62,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,67.07,3910.73,No
CUST-00046,Female,0,No,Yes,39,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,58.61,2068.19,No
CUST-00047,Male,1,No,Yes,55,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,53.79,2986.9,No
CUST-00048,Female,0,Yes,No,25,No,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,89.75,2454.32,Yes
CUST-00049,Male,1,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),51.62,738.29,No
CUST-00050,Male,1,Yes,No,22,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Two year,No,Electronic check,44.16,953.78,No
CUST-00051,Male,0,No,No,17,Yes,No,No,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Electronic check,56.65,912.43,Yes
CUST-00052,Male,0,No,Yes,71,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,76.41,5488.02,No
CUST-00053,Male,0,Yes,No,33,Yes,No,DSL,Yes,No internet service,No,No,Yes,No,Two year,No,Mailed check,48.74,1551.41,No
CUST-00054,Male,0,Yes,No,48,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,28.23,1379.8,No
CUST-00055,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),56.5,2587.58,No
CUST-00056,Male,0,Yes,No,30,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No internet service,Two year,No,Electronic check,64.45,2099.36,No
CUST-00057,Female,0,No,No,69,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),42.42,3026.51,No
CUST-00058,Male,0,Yes,No,16,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),64.87,1075.82,No
CUST-00059,Male,1,No,Yes,3,Yes,Yes,DSL,No,Yes,No,Yes,No,No internet service,Two year,Yes,Credit card (automatic),51.86,155.16,No
CUST-00060,Male,0,No,Yes,53,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,38.08,1938.78,No
CUST-00061,Male,0,Yes,Yes,47,Yes,Yes,DSL,No,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,57.77,2614.16,No
CUST-00062,Female,1,Yes,No,19,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),43.34,824.12,No
CUST-00063,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,67.21,3910.26,No
CUST-00064,Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),87.37,1780.83,Yes
CUST-00065,Female,0,No,No,18,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,One year,No,Credit card (automatic),69.09,1211.87,No
CUST-00066,Female,1,Yes,No,11,No,Yes,DSL,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),38.39,391.08,No
CUST-00067,Female,1,No,No,14,No,No,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,77.58,1027.63,No
CUST-00068,Male,0,No,No,52,Yes,Yes,DSL,No,No,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),65.55,3432.48,No
CUST-00069,Male,0,No,No,50,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),34.46,1822.97,No
CUST-00070,Male,0,No,Yes,46,Yes,No,No,Yes,No internet service,No,No,No,Yes,Two year,Yes,Credit card (automatic),78.73,3422.23,No
CUST-00071,Male,0,Yes,Yes,23,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,78.34,1906.93,Yes
CUST-00072,Female,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),51.38,232.01,No
CUST-00073,Male,0,No,No,10,Yes,No,DSL,Yes,No,Yes,Yes,No,No internet service,Two year,No,Bank transfer (automatic),67.99,747.49,Yes
CUST-00074,Male,0,Yes,No,9,No,Yes,No,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),75.1,678.19,No
CUST-00075,Female,1,No,No,68,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,No,One year,No,Electronic check,61.81,4182.81,No
CUST-00076,Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),69.97,288.31,Yes
CUST-00077,Male,0,No,No,29,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Electronic check,74.77,2157.56,Yes
CUST-00078,Female,1,Yes,Yes,41,Yes,No,No,No,No,No internet service,No,No,Yes,One year,Yes,Mailed check,33.94,1365.94,No
CUST-00079,Male,0,Yes,No,28,No,Yes,No,No,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Electronic check,21.76,593.56,No
